Analytics Report,Kashif Mehmood,2026-01-13

Revenue Metrics
Metric,Value
Total Revenue,$0.00

Booking Metrics
Status,Count
Pending,1
Confirmed,0
Rescheduled,0
Cancelled,0
Completed,0
No Show,0

Lead Metrics
Status,Count
New,17
Contacted By Phone,0
Contacted By SMS,0
Qualified,0
Appointment Scheduled,5
Converted,0
Lost,0
